2026-05-03 11:44:04,481 - INFO - Building environment (duel)...
2026-05-03 11:44:04,481 - INFO - hisss reward_cfg (how match rewards are shaped): {'living_reward': 0.0, 'terminal_reward': 1.0}
2026-05-03 11:44:04,482 - INFO - Observation shape: (2, 21, 21, 22) | channels=22
2026-05-03 11:44:05,058 - INFO - DQN training configuration: {
  "gamma": 0.99,
  "batch_size": 64,
  "train_after": 500,
  "train_every": 1,
  "target_update_every": 500,
  "epsilon_start": 1.0,
  "epsilon_end": 0.05,
  "epsilon_decay_steps": 50000,
  "replay_capacity": 50000
}
2026-05-03 11:44:08,354 - DEBUG - env step | turn=113 | actions=(3, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,369 - DEBUG - env step | turn=114 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,369 - DEBUG - env step | turn=115 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,369 - DEBUG - env step | turn=116 | actions=(3, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,369 - DEBUG - env step | turn=117 | actions=(3, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,370 - DEBUG - env step | turn=118 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,370 - DEBUG - env step | turn=119 | actions=(1, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,370 - DEBUG - env step | turn=120 | actions=(1, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,370 - DEBUG - env step | turn=121 | actions=(1, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,385 - DEBUG - env step | turn=122 | actions=(1, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,385 - DEBUG - env step | turn=123 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,386 - DEBUG - env step | turn=124 | actions=(1, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,386 - DEBUG - env step | turn=125 | actions=(0, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,386 - DEBUG - env step | turn=126 | actions=(1, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,386 - DEBUG - env step | turn=127 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,387 - DEBUG - env step | turn=128 | actions=(1, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,387 - DEBUG - env step | turn=129 | actions=(2, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,402 - DEBUG - env step | turn=130 | actions=(3, 2) | rewards=[0. 0.] | done=False
