2026-06-02 18:20:07,136 - INFO - hisss reward_cfg: {'living_reward': 0.0, 'terminal_reward': 1.0}
2026-06-02 18:20:07,775 - INFO - DQN training configuration: {
  "algorithm": "rainbow",
  "gamma": 0.99,
  "n_step": 3,
  "batch_size": 64,
  "train_after": 500,
  "target_update_every": 500,
  "epsilon_decay_steps": 50000,
  "replay_capacity": 50000,
  "beta_start": 0.4,
  "beta_end": 1.0
}
2026-06-02 18:20:08,926 - DEBUG - env step | turn=43 | actions=(3, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,926 - DEBUG - env step | turn=44 | actions=(3, 1) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,927 - DEBUG - env step | turn=45 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,927 - DEBUG - env step | turn=46 | actions=(1, 1) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,953 - DEBUG - env step | turn=47 | actions=(2, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,954 - DEBUG - env step | turn=48 | actions=(2, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,954 - DEBUG - env step | turn=49 | actions=(3, 1) | rewards=[-1.  1.] | done=True
2026-06-02 18:20:08,954 - INFO - Episode 2 finished | env steps=50 | cumulative reward (per snake)=[-1.  1.] | ε=0.9985 | replay size=162
2026-06-02 18:20:08,954 - DEBUG - env step | turn=0 | actions=(0, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,955 - DEBUG - env step | turn=1 | actions=(3, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,955 - DEBUG - env step | turn=2 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,982 - DEBUG - env step | turn=3 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,983 - DEBUG - env step | turn=4 | actions=(3, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,983 - DEBUG - env step | turn=5 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,983 - DEBUG - env step | turn=6 | actions=(1, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,984 - DEBUG - env step | turn=7 | actions=(0, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,984 - DEBUG - env step | turn=8 | actions=(3, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,984 - DEBUG - env step | turn=9 | actions=(3, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,984 - DEBUG - env step | turn=10 | actions=(2, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,012 - DEBUG - env step | turn=11 | actions=(2, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,012 - DEBUG - env step | turn=12 | actions=(1, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,013 - DEBUG - env step | turn=13 | actions=(2, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,013 - DEBUG - env step | turn=14 | actions=(2, 1) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,013 - DEBUG - env step | turn=15 | actions=(1, 1) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,013 - DEBUG - env step | turn=16 | actions=(1, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,014 - DEBUG - env step | turn=17 | actions=(0, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,014 - DEBUG - env step | turn=18 | actions=(3, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,041 - DEBUG - env step | turn=19 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,041 - DEBUG - env step | turn=20 | actions=(1, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,041 - DEBUG - env step | turn=21 | actions=(0, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,042 - DEBUG - env step | turn=22 | actions=(3, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,042 - DEBUG - env step | turn=23 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,042 - DEBUG - env step | turn=24 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,071 - DEBUG - env step | turn=25 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,071 - DEBUG - env step | turn=26 | actions=(3, 1) | rewards=[0. 0.] | done=True
2026-06-02 18:20:09,071 - INFO - Episode 3 finished | env steps=27 | cumulative reward (per snake)=[0. 0.] | ε=0.9979 | replay size=216
2026-06-02 18:20:09,071 - DEBUG - env step | turn=0 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,072 - DEBUG - env step | turn=1 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,072 - DEBUG - env step | turn=2 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,072 - DEBUG - env step | turn=3 | actions=(1, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,088 - DEBUG - env step | turn=4 | actions=(1, 1) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,088 - DEBUG - env step | turn=5 | actions=(1, 1) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,128 - DEBUG - env step | turn=6 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,128 - DEBUG - env step | turn=7 | actions=(0, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,129 - DEBUG - env step | turn=8 | actions=(3, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,129 - DEBUG - env step | turn=9 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,129 - DEBUG - env step | turn=10 | actions=(1, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,130 - DEBUG - env step | turn=11 | actions=(2, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,158 - DEBUG - env step | turn=12 | actions=(1, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,158 - DEBUG - env step | turn=13 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,159 - DEBUG - env step | turn=14 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,159 - DEBUG - env step | turn=15 | actions=(3, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,159 - DEBUG - env step | turn=16 | actions=(0, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,159 - DEBUG - env step | turn=17 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,160 - DEBUG - env step | turn=18 | actions=(2, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,160 - DEBUG - env step | turn=19 | actions=(1, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,187 - DEBUG - env step | turn=20 | actions=(1, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,187 - DEBUG - env step | turn=21 | actions=(0, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,188 - DEBUG - env step | turn=22 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,188 - DEBUG - env step | turn=23 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,188 - DEBUG - env step | turn=24 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,188 - DEBUG - env step | turn=25 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,189 - DEBUG - env step | turn=26 | actions=(3, 1) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,189 - DEBUG - env step | turn=27 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,217 - DEBUG - env step | turn=28 | actions=(1, 1) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,217 - DEBUG - env step | turn=29 | actions=(2, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,217 - DEBUG - env step | turn=30 | actions=(2, 1) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,218 - DEBUG - env step | turn=31 | actions=(3, 1) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,218 - DEBUG - env step | turn=32 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,218 - DEBUG - env step | turn=33 | actions=(1, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,218 - DEBUG - env step | turn=34 | actions=(1, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,218 - DEBUG - env step | turn=35 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,246 - DEBUG - env step | turn=36 | actions=(1, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,246 - DEBUG - env step | turn=37 | actions=(1, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,247 - DEBUG - env step | turn=38 | actions=(2, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,247 - DEBUG - env step | turn=39 | actions=(3, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,247 - DEBUG - env step | turn=40 | actions=(2, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,247 - DEBUG - env step | turn=41 | actions=(2, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,247 - DEBUG - env step | turn=42 | actions=(3, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,248 - DEBUG - env step | turn=43 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,275 - DEBUG - env step | turn=44 | actions=(1, 1) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,275 - DEBUG - env step | turn=45 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,275 - DEBUG - env step | turn=46 | actions=(3, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,276 - DEBUG - env step | turn=47 | actions=(2, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,276 - DEBUG - env step | turn=48 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,276 - DEBUG - env step | turn=49 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,276 - DEBUG - env step | turn=50 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,276 - DEBUG - env step | turn=51 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,307 - DEBUG - env step | turn=52 | actions=(1, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,307 - DEBUG - env step | turn=53 | actions=(1, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,307 - DEBUG - env step | turn=54 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,308 - DEBUG - env step | turn=55 | actions=(3, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,308 - DEBUG - env step | turn=56 | actions=(2, 1) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,308 - DEBUG - env step | turn=57 | actions=(3, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,308 - DEBUG - env step | turn=58 | actions=(0, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,308 - DEBUG - env step | turn=59 | actions=(1, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:09,338 - DEBUG - env step | turn=60 | actions=(0, 1) | rewards=[0. 0.] | done=False
