2026-05-03 11:46:55,033 - INFO - Building environment (duel)...
2026-05-03 11:46:55,034 - INFO - hisss reward_cfg (how match rewards are shaped): {'living_reward': 0.0, 'terminal_reward': 1.0}
2026-05-03 11:46:55,034 - INFO - Observation shape: (2, 21, 21, 22) | channels=22
2026-05-03 11:46:55,592 - INFO - DQN training configuration: {
  "gamma": 0.99,
  "batch_size": 64,
  "train_after": 500,
  "train_every": 1,
  "target_update_every": 500,
  "epsilon_start": 1.0,
  "epsilon_end": 0.05,
  "epsilon_decay_steps": 50000,
  "replay_capacity": 50000
}
2026-05-03 11:46:56,570 - DEBUG - env step | turn=44 | actions=(2, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,570 - DEBUG - env step | turn=45 | actions=(2, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,604 - DEBUG - env step | turn=46 | actions=(3, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,604 - DEBUG - env step | turn=47 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,605 - DEBUG - env step | turn=48 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,605 - DEBUG - env step | turn=49 | actions=(0, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,638 - DEBUG - env step | turn=50 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,639 - DEBUG - env step | turn=51 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,639 - DEBUG - env step | turn=52 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,640 - DEBUG - env step | turn=53 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,640 - DEBUG - env step | turn=54 | actions=(0, 2) | rewards=[-1.  1.] | done=True
2026-05-03 11:46:56,675 - INFO - Episode 2 finished | env steps=55 | cumulative reward (per snake)=[-1.  1.] | ε=0.9985 | replay size=160
2026-05-03 11:46:56,675 - DEBUG - env step | turn=0 | actions=(0, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,676 - DEBUG - env step | turn=1 | actions=(1, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,676 - DEBUG - env step | turn=2 | actions=(2, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,677 - DEBUG - env step | turn=3 | actions=(3, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,677 - DEBUG - env step | turn=4 | actions=(2, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,714 - DEBUG - env step | turn=5 | actions=(2, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,714 - DEBUG - env step | turn=6 | actions=(1, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,715 - DEBUG - env step | turn=7 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,715 - DEBUG - env step | turn=8 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,715 - DEBUG - env step | turn=9 | actions=(3, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,751 - DEBUG - env step | turn=10 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,751 - DEBUG - env step | turn=11 | actions=(3, 2) | rewards=[0. 0.] | done=False
